parameter,value,unit,applicable_period,source,source_url
Interest RWT default rate (IRD number supplied),33.0,percent,Current,IRD Using the right RWT rate,https://www.ird.govt.nz/income-tax/withholding-taxes/resident-withholding-tax-rwt/using-the-right-rwt-tax-rate
Interest RWT rate (no IRD number),45.0,percent,Current,IRD Using the right RWT rate,https://www.ird.govt.nz/income-tax/withholding-taxes/resident-withholding-tax-rwt/using-the-right-rwt-tax-rate
Residential rental interest deductibility (2024/25),80,percent,1 April 2024 to 31 March 2025,IRD Residential property interest limitation rules,https://www.ird.govt.nz/property-interest-rules
Residential rental interest deductibility (from 2025/26),100,percent,From 1 April 2025,IRD Residential property interest limitation rules,https://www.ird.govt.nz/property-interest-rules
Bright-line test period,2,years,Disposals from 1 July 2024,IRD The bright-line test,https://www.ird.govt.nz/property/buying-and-selling/when-you-need-to-pay/the-brightline-test
RDTI credit rate,15,percent,Current,IRD Research and development tax incentive,https://www.ird.govt.nz/research-and-development/tax-incentive/about-research-and-development-tax-incentive-credits
RDTI minimum eligible expenditure,50000,NZD,Per year (waived via Approved Research Provider),IRD Research and development tax incentive,https://www.ird.govt.nz/research-and-development/tax-incentive/about-research-and-development-tax-incentive-credits
RDTI eligible expenditure cap,120000000,NZD,Per year,IRD Research and development tax incentive,https://www.ird.govt.nz/research-and-development/tax-incentive/about-research-and-development-tax-incentive-credits
RDTI maximum refund (limited refundability),255000,NZD,Corresponds to $1.7m eligible expenditure,IRD Research and development tax incentive,https://www.ird.govt.nz/research-and-development/tax-incentive/about-research-and-development-tax-incentive-credits
Company loss shareholder continuity threshold,49,percent,Current,IRD Shareholder continuity test,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/income-tax-for-companies/losses-for-companies/carrying-company-losses-forward/shareholder-continuity-test
Imputation credit continuity threshold,66,percent,Current,IRD Business continuity test,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/income-tax-for-companies/losses-for-companies/carrying-company-losses-forward/business-continuity-test
Personal services attribution income threshold,70000,NZD,Current,IRD Attribution rule for income from personal services,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/how-income-is-taxed/attribution-rule-for-income-from-personal-services
Personal services attribution buyer test,80,percent,Current,IRD Attribution rule for income from personal services,https://www.ird.govt.nz/income-tax/income-tax-for-individuals/how-income-is-taxed/attribution-rule-for-income-from-personal-services
Kilometre rate Tier 1 petrol (2025/26),1.20,NZD per km,2025/26 (first 14000 km),IRD Kilometre rates 2025-2026,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/types-of-business-expenses/claiming-vehicle-expenses/kilometre-rates-2025-2026
Kilometre rate Tier 1 diesel (2025/26),1.30,NZD per km,2025/26 (first 14000 km),IRD Kilometre rates 2025-2026,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/types-of-business-expenses/claiming-vehicle-expenses/kilometre-rates-2025-2026
Kilometre rate Tier 1 petrol hybrid (2025/26),0.90,NZD per km,2025/26 (first 14000 km),IRD Kilometre rates 2025-2026,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/types-of-business-expenses/claiming-vehicle-expenses/kilometre-rates-2025-2026
Kilometre rate Tier 1 electric (2025/26),1.22,NZD per km,2025/26 (first 14000 km),IRD Kilometre rates 2025-2026,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/types-of-business-expenses/claiming-vehicle-expenses/kilometre-rates-2025-2026
Entertainment deductibility (most business entertainment),50,percent,Current,IRD Entertainment expenses,https://www.ird.govt.nz/income-tax/income-tax-for-businesses-and-organisations/types-of-business-expenses/entertainment-expenses
